artist,album,name,explicit,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,genre,duration_s
Kendrick Lamar,To Pimp A Butterfly,These Walls,1,1,1,4,0.11,0.752,0.489,3.57e-06,0.20199999999999999,-5.233,0.13699999999999998,108.005,0.373,62,hiphop,300.973
Kendrick Lamar,To Pimp A Butterfly,u,1,11,0,4,0.26,0.406,0.7979999999999999,0.0,0.461,-5.585,0.43200000000000005,71.547,0.58,59,hiphop,268.493
Kendrick Lamar,To Pimp A Butterfly,Alright,1,7,1,4,0.0742,0.7959999999999999,0.7659999999999999,0.0,0.0827,-5.974,0.23800000000000002,110.03399999999999,0.5579999999999999,71,hiphop,219.333
Kendrick Lamar,To Pimp A Butterfly,For Sale? - Interlude,1,2,1,3,0.442,0.301,0.6859999999999999,0.00011499999999999999,0.121,-8.36,0.0831,79.036,0.276,55,hiphop,291.72
Kendrick Lamar,To Pimp A Butterfly,Momma,1,1,1,5,0.254,0.615,0.743,0.0,0.665,-4.58,0.325,111.914,0.515,57,hiphop,283.12
Kendrick Lamar,To Pimp A Butterfly,Hood Politics,1,6,0,4,0.145,0.731,0.6609999999999999,0.0,0.12,-6.562,0.376,87.912,0.369,59,hiphop,292.52
Kendrick Lamar,To Pimp A Butterfly,How Much A Dollar Cost,1,1,1,4,0.415,0.624,0.7290000000000001,0.0,0.135,-4.747,0.198,87.948,0.33399999999999996,58,hiphop,261.746
Kendrick Lamar,To Pimp A Butterfly,Complexion,1,2,0,4,0.5660000000000001,0.665,0.5579999999999999,4.57e-06,0.21899999999999997,-7.8629999999999995,0.303,89.95299999999999,0.37,56,hiphop,263.36
Kendrick Lamar,To Pimp A Butterfly,The Blacker The Berry,1,10,0,4,0.00713,0.5529999999999999,0.852,0.0,0.46299999999999997,-4.08,0.305,176.058,0.27,60,hiphop,328.82599999999996
Kendrick Lamar,To Pimp A Butterfly,You Ain't Gotta Lie,1,11,0,4,0.455,0.44299999999999995,0.635,2.07e-05,0.285,-5.404,0.223,93.742,0.672,56,hiphop,241.68
Kendrick Lamar,To Pimp A Butterfly,i,1,8,1,4,0.708,0.541,0.809,0.0,0.72,-4.2860000000000005,0.324,120.094,0.753,60,hiphop,336.01300000000003
Kendrick Lamar,To Pimp A Butterfly,Mortal Man,1,10,0,4,0.665,0.5670000000000001,0.525,0.0,0.708,-9.043,0.75,86.935,0.41600000000000004,53,hiphop,727.1060000000001
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",Sherane a.k.a Master Splinter’s Daughter,1,10,0,4,0.486,0.503,0.508,0.0102,0.124,-11.094000000000001,0.52,81.908,0.317,49,hiphop,273.64
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)","Bitch, Don’t Kill My Vibe",1,1,1,4,0.0152,0.5870000000000001,0.698,0.0,0.442,-8.948,0.0943,133.954,0.0985,64,hiphop,310.72
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",Backseat Freestyle,1,1,1,4,0.000739,0.546,0.6509999999999999,0.0,0.235,-7.601,0.3,77.878,0.6459999999999999,59,hiphop,212.653
